StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location
a04x,Peng Cheng Northern Jiangsu Cuisine 彭城小厨 (Temple Street),Chinese,4.9,169,singapore,"45 Temple Street, Ground Floor,"
a0bn,Shu Liu Xiang 蜀留香 (Woodlands MRT),Chinese,5,285,singapore,"30 Woodlands Ave 2, 01-10 Woodlands MRT Station, S738343,"
a0gk,NYP Chicken Rice (Nanyang Polytechnic),Chicken,4.9,509,singapore,"180 Ang Mo Kio Avenue 8, Nanyang Polytechnic Block P South Canteen Level 2,"
a0il,Sumo Bar Happy (Middle Road) [Pandago],Japanese,5,11,singapore,"111 Middle Road 01-05,"
a0iu,King Dae Bak Korean (Compass One),Korean,4.9,15,singapore,"1 Sengkang Square, #04-11 Compass One, S 545078,"
a0j3,Rong Cheng Mala Xiang Guo (Ang Mo Kio Avenue 4),Mala Xiang Guo,0,0,singapore,"632 Ang Mo Kio Avenue 4 #01-948 (FoodCity Coffeeshop), Singapore 560632,"
a0o3,Zhong Ji Dang Gui HK Roasted Delight 忠记当归港式烧腊 (Potong Pasir Avenue 3),,0,0,singapore,"136 Potong Pasir Ave 3 #01-168 SG350136,"
a0pb,Makan Sedap Florence (Dapurflora at Northpoint Kopitiam) (Northpoint),Chicken,5,3663,singapore,"930 Yishun Ave 2 B2 -12, S769098,"
a0py,Peppercorn Chinese Cuisine Mala Hotpot 椒点麻辣香锅 (Jalan Besar),Mala Xiang Guo,4.9,2561,singapore,"405 Jalan Besar, S209011,"
a0qw,Streats (City Square Mall) - Islandwide,Chinese,5,61,singapore,"#01-01,180 Kitchener Road,"
a0so,He Zhi Rong Korean Cuisine - Kampung Admiralty Hawker Centre (676 Woodlands Drive 71),Chicken,4.7,74,singapore,"KAMPUNG ADMIRALTY #02-03 676 WOODLANDS DRIVE 71 730676, S 730676,"
a0u2,Mermaid Chinese Cuisine 中国大排档 (Clementi Avenue 2),Asian,4.9,521,singapore,"378 Clementi Avenue 5 #01-338 Singapore 120378,"
a0zi,Bangla Bondhu (Mandarin Gardens) - Islandwide,,0,0,singapore,"7 Siglap Rd. #13-71, Mandarin Gardens 448909,"
a128,Wareong Sedap Special Ayam Penyet (Tagore Lane),Indonesian,0,0,singapore,"134 Tagore Lane, S 787557,"
a1du,Fusion Express (Tampines),Western,5,1030,singapore,"Blk 844, Tampines St 82, #01-131,"
a1f9,Curry Paradise Indian Muslim Food (Jalan Bukit Merah),Indian,0,0,singapore,"107 Jalan Bukit Merah SG160107,"
a1fc,Paper Bag Thai Tea (Jurong East Street 32) - Home-Based Vendor,Thai,5,691,singapore,"371 Jurong East Street 32 #16-374, Singapore 600371,"
a1pk,Yukidon Groups (Woodlands Avenue 1),Japanese,5,1015,singapore,"354A Woodlands Ave 1 #01-01 Singapore 731354,"
a1qg,Bowl & Bowl Fried Rice (Account 480 TPY Gourmet Paradise),Fried Rice,5,491,singapore,"#B1-01 HDB Hub, 480 Lorong 6 Toa Payoh Singapore, S310480,"
a1qx,The Daily Cup (Bishan Street 22),Beverages,4.6,7,singapore,"282 Bishan Street 22 #01-105 SG570282, S 570282,"
a1sg,The Bark Cafe (1000 Upper Changi Rd North) - Islandwide,Western,0,0,singapore,"1000 Upper Changi Road North #01-01 Singapore 507707,"
a1vw,Bao Tang Zhi Dao 煲汤之道 (Anchorvale Road),Asian,5,30,singapore,"339 Anchorvale Raod #02-29, S 540339,"
a1wl,Maya Indian Vegetarian (Kopitiam @ Lau Pa Sat),Vegetarian,4.9,76,singapore,"Lau Pa Sat Festival Market, 18 Raffles Quay Stall 47, S 48582,"
a1yy,Daebak Korean Restaurant (Wilkie Edge) - Islandwide,Korean,5,17,singapore,"8 Wilkie Road Wilkie Edge #01-18,"
a1zt,Rasoi -The Indian Kitchen (Lorong Liput),Indian,4.9,263,singapore,"33 Lorong Liput, Bukit Timah/Buona Vista,"
a224,Kintamani Indonesian Restaurant (Tiong Bahru) - Islandwide,Indonesian,4.9,21,singapore,"405 Havelock Road, Furama Riverfront 3F,"
a27p,Mr Grumpy Nasi Ayam (Lucky Plaza Nasi Ayam) (Marsiling),Chicken Rice,5,121,singapore,"302 Woodlands Street 31, #01-277, S730302, S 730302,"
a2ao,Yong Huat Hokkien Mee (since 1949),Noodles,4.8,454,singapore,"125 East Coast Road, Stall 4 S428810,"
a2aq,Teppan Kaki (Food Junction Westgate),Asian,5,18,singapore,"Westgate, 3 Gateway Dr, B1-29 Westgate, Singapore 608532,"
a2d3,CHEN DE MALA HOTPOT 晨的麻辣香锅,Chinese,0,0,singapore,"CHEN DE MALA HOTPOT 晨的 麻辣香锅, Leng Kee Rd 24, 159096 Queenstown, Central, Singapore, Singapore,"
a2hr,Riverside Indonesian BBQ (Jurong Point),Grill,4.9,705,singapore,"Stall No. 04 (Riverside Indonesian BBQ) at 1 Jurong West Central 2, #03-42 Jurong Point Shopping Centre, Singapore,"
a2i8,Shang Society (Erskine Road),Chinese,0,0,singapore,"Shang Society, 33 Erskine rd, #01- 13, The Scarlet Hotel, Singapore 069333,"
a2im,En Sushi (Midland House),Japanese,5,156,singapore,"112 Middle Rd, #01-00B, Midland House,"
a2jo,Wong Fu Fu (North Bridge),Asian,4.2,5,singapore,"776 North Bridge Road,"
a2k5,Siang Garden (Fajar),Chinese,4.8,401,singapore,"445 Fajar Road, Fajar Shopping Centre 01-558,"
a2ki,Red Chilli-The Bollywood Spices (484 Changi Rd) - Restaurant Delivery,Indian,4,22,singapore,"484 Changi Road,"
