CompleteStoreName,FoodType,AverageRating,Reviewers,City
Peng Cheng Northern Jiangsu Cuisine,chinese,4.9,169,singapore
Shu Liu Xiang,chinese,5,285,singapore
NYP Chicken Rice,chicken,4.9,509,singapore
Sumo Bar Happy,japanese,5,11,singapore
King Dae Bak Korean,korean,4.9,15,singapore
Makan Sedap Florence,chicken,5,3663,singapore
Peppercorn Chinese Cuisine Mala Hotpot,mala xiang guo,4.9,2561,singapore
Streats,chinese,5,61,singapore
He Zhi Rong Korean Cuisine,chicken,4.7,74,singapore
Mermaid Chinese Cuisine,asian,4.9,521,singapore
Fusion Express,western,5,1030,singapore
Paper Bag Thai Tea,thai,5,691,singapore
Yukidon Groups,japanese,5,1015,singapore
Bowl & Bowl Fried Rice,fried rice,5,491,singapore
The Daily Cup,beverages,4.6,7,singapore
Bao Tang Zhi Dao,asian,5,30,singapore
Maya Indian Vegetarian,vegetarian,4.9,76,singapore
Daebak Korean Restaurant,korean,5,17,singapore
Rasoi,indian,4.9,263,singapore
Kintamani Indonesian Restaurant,indonesian,4.9,21,singapore
Mr Grumpy Nasi Ayam,chicken rice,5,121,singapore
Yong Huat Hokkien Mee,noodles,4.8,454,singapore
Teppan Kaki,asian,5,18,singapore
Riverside Indonesian BBQ,grill,4.9,705,singapore
En Sushi,japanese,5,156,singapore
Wong Fu Fu,asian,4.2,5,singapore
Siang Garden,chinese,4.8,401,singapore
Red Chilli,indian,4,22,singapore
Dim Sum Master,chinese,3.2,17,singapore
Xiang Man Yuan,chinese,4.8,210,singapore
Xiang Xiang Fish Soup & Handmade Noodle,noodles,5,79,singapore
Papa Cafe,indian,4.9,31,singapore
828 Wuxiang,singaporean,4.7,71,singapore
Pasta Craft,pasta,4.8,44,singapore
Harmony Hut,vegetarian,5,8,singapore
Don Wuri,rice dishes,4.7,257,singapore
Naga Kitchen,malaysian,5,138,singapore
Balestier Seafood,malaysian,4.9,144,singapore
Broadway Food & Drinks,coffee,4.9,48,singapore
Lao Huo Tang Signature,chinese,4.8,41,singapore
Good Luck Fishball Noodle,noodles,5,177,singapore
Tai Mei Wei,asian,4.9,1128,singapore
Kedai Bakmal Kebab & Grill,mediterranean,4.9,7,singapore
More Batter,fried chicken,4.9,142,singapore
Kebabs Faktory,middle eastern,4.9,571,singapore
Hokkaido Baked Cheese Tart,cakes,5,903,singapore
Wang's Roasted Delights,chinese,4.8,250,singapore
Brinda's,indian,4.7,60,singapore
Mini Wok Seafood,fried rice,4.8,432,singapore
Fried Chicken Master,asian,4.9,21,singapore
Konjiki Hototogisu,japanese,4.3,43,singapore
yu xuan japanese and korean cuisine,japanese,4.9,70,singapore
Coffeesmith,coffee,5,59,singapore
Jack'S Place,western,5,6,singapore
Tanjong Rhu Wanton Noodles,asian,4.8,16,singapore
Korean Cuisine,korean,5,384,singapore
Just Love Bread,bakery,5,84,singapore
THE NEIGHBOURWOK,noodles,5,876,singapore
100,mala xiang guo,4.9,117,singapore
Jia Xiang Mala Hotpot,chinese,5,345,singapore
Coffee & Chirashi,rice dishes,5,361,singapore
Roasted Master,chinese,4.9,123,singapore
Aussie Roll,seafood,5,431,singapore
Mr Fried Rice,western,4.2,7,singapore
Akashi Japanese Restaurant,japanese,4.9,178,singapore
Tasty Sarawak Kolo Mee,chinese,5,205,singapore
Rixin Fish Soup And Noodle,seafood,4.3,97,singapore
Asylum Coffeehouse,beverages,4.9,101,singapore
O,korean,4.8,13,singapore
The South Indian Kitchen,indian,4.8,36,singapore
Deli Delight Western,western,4.9,19,singapore
Masalaa Bar,indian,4.9,303,singapore
Tori Yama Yakitori,japanese,4.7,64,singapore
The Coffee Bean & Tea Leaf,coffee,5,57,singapore
Padi Emas Seafood BBQ,fried rice,5,446,singapore
SMILE DESSERT,dessert,4.9,17,singapore
Fu Zhou Ban Mian,chinese,4.9,985,singapore
Ah Heng Duck Rice,chinese,4.9,49,singapore
HanKki,korean,5,160,singapore
Jiu Fu Seafood,chinese,4.9,540,singapore
Qiqi Mala Hotpot,chinese,4.7,511,singapore
Food Republic,rice dishes,4.9,277,singapore
Handmade Noodles & Fish Soup,noodles,4.9,1891,singapore
Nando's,chicken,5,60,singapore
Boleh Boleh,singaporean,4.9,1411,singapore
Tasty China,chinese,4.8,45,singapore
Yummy Malatang,mala xiang guo,5,409,singapore
The Alley,bubble tea,5,49,singapore
R&B Tea,bubble tea,5,550,singapore
La Jiang Shan Biang Biang Noodle,chinese,4.9,61,singapore
AN,indian,4.9,219,singapore
Papa Ayam,indonesian,5,6,singapore
C,chinese,5,127,singapore
Jakarta Ropang Project,asian,3.8,14,singapore
MIA mala xiangguo,mala xiang guo,4.8,313,singapore
Ree,cakes,4.9,15,singapore
MEE2U DAPUR,indonesian,4.9,11,singapore
Mufiz Spice Restaurant,indian,4.9,50,singapore
Ah Jie Hokkien Mee,singaporean,4.9,43,singapore
WOOWFLES BY BAKERY CUISINE,cakes,5,125,singapore
Mr Teh Tarik Express,asian,5,1182,singapore
115 Ho Jiak Western Cuisine,western,4.9,74,singapore
Kopifellas,singaporean,4.8,43,singapore
MASHI NO MASHI,fast food,4.9,10,singapore
Pasta Pizza,pizza,4.9,132,singapore
Cheeky Bee Hoon,chinese,4.9,65,singapore
Trovato,pasta,5,23,singapore
Yuan Wei HK Wanton Noodles,asian,4.9,11,singapore
Chef Kiss Madame,american,3.7,5,singapore
Gao Sheng Seafood,chinese,4.8,427,singapore
Toko Ngopi,beverages,4.9,89,singapore
Jjak & Co,rice dishes,5,1,singapore
Uncle Noodle,singaporean,4.7,7,singapore
Lao Xiang Lou Tu Cai Guan,chinese,5,49,singapore
Bai Shun Kampong Chicken Rice,malaysian,4.1,13,singapore
Daya Izakaya,japanese,5,641,singapore
YES Nanyang Kopi House,rice dishes,4.8,106,singapore
Khao Hom By Rung Mama,thai,5,234,singapore
Tokyo Taste,japanese,4.7,10,singapore
Chocobar,pasta,4.8,23,singapore
Happy House Mala Hotpot,chinese,4.9,288,singapore
45 WESTERN FOOD,western,4.8,23,singapore
Long Ding Seafood,chinese,5,9,singapore
Lele Wanton Noodles,asian,5,7,singapore
Xin Wang Hong Kong Cafe,chinese,5,190,singapore
KULON,malaysian,4.9,126,singapore
Estee,bakery,4.9,22,singapore
Heng Heng Herbal Soup,singaporean,4.1,104,singapore
Steam Master,asian,4.9,201,singapore
So Lemak,chicken wings,5,79,singapore
Guan Chee Hong Kong Roasted Duck,rice dishes,4.9,7,singapore
Sankranti,indian,4.5,438,singapore
Bai Li Xiang Economic Bee Hoon,singaporean,4.9,234,singapore
Neko Bingsu,japanese,4.9,10,singapore
Al Ahamed Delights Express,indian,4.9,89,singapore
Xin Ji Congee,chinese,5,171,singapore
Tree Side Nasi Lemak,asian,4.5,29,singapore
Shi Feng Xiao Chu,chinese,4.4,13,singapore
Rekab Cafe,dessert,4.9,20,singapore
MS Inasal,filipino,5,660,singapore
Pontian Wanton Noodles,chinese,4.9,208,singapore
Thai Kinn Dee,thai,5,510,singapore
Bobo's Fruit Bar,healthy,5,20,singapore
Tasty Wok,chinese,5,199,singapore
Shao,chinese,4.9,11,singapore
Jia Xiang Wei Yellow Braised Chicken,asian,2.3,5,singapore
Siriwan Thai Restaurant,thai,4.8,158,singapore
Al Hadheerah Express,indian,4.9,104,singapore
Gyu San Japanese Sando & Charcoal Bar,japanese,5,18,singapore
Heybo,healthy,4.9,12,singapore
SPICED PALACE,indian,4.5,14,singapore
Now Pizza,american,5,297,singapore
Humfull Prawn Laksa,singaporean,4.6,8,singapore
Blk 826 Hokkien Prawn Mee,noodles,4.8,57,singapore
Boon Tong Kee,chicken rice,4.9,481,singapore
Guru Curry Prata House Indian Restaurant,asian,4.4,13,singapore
Skewer Master Fook Hai,chinese,4.9,183,singapore
Chocabloc,cakes,5,59,singapore
Fu Xiao Fish Soup,seafood,4.6,12,singapore
Da Yan Mala Xiang Guo,chinese,5,192,singapore
Wingsplus,western,4.9,101,singapore
KING'S BIRYANI & BBQ RESTAURANT,indian,4.3,11,singapore
KL Claypot Rice,asian,4.7,134,singapore
Hup Seng Huat Seafood,fried rice,4.9,36,singapore
Monster Curry,chicken,5,736,singapore
Yu Ling Yong Tau Foo,asian,4.9,376,singapore
The Pack Good Food Bar,healthy,5,72,singapore
Aristocrat Cuisine,vietnamese,4.9,51,singapore
Time for Thai,thai,5,124,singapore
Soulfood Nasi Lemak,asian,5,10,singapore
YI FANG TAIWAN FRUIT TEA,bubble tea,4.7,20,singapore
Zesty Acai,dessert,5,41,singapore
Dim Sum Master,chinese,4.8,17,singapore
Tbakeco,pasta,4.9,38,singapore
Sanchos Taqueria,mexican,3.8,11,singapore
Fantastic Handmade Noodles,noodles,4.3,187,singapore
Bao Tian Xia,dim sum ,5,6,singapore
Pita Tree Kebabs,mediterranean,4.9,51,singapore
Mypizza,pizza,5,30,singapore
Malay Food Stall by BigPawPawsBBQ,malaysian,4.5,5,singapore
Two Blur Guys,american,4.9,9,singapore
Tasty Corner,indian,4.8,113,singapore
Le Cafe Vie5,vietnamese,4.9,38,singapore
Panda Bar,asian,4.9,19,singapore
habit,salads,4.9,86,singapore
Mun Zuk,porridge,5,1477,singapore
CCK 302 Ngoh Hiang Prawn Cracker,singaporean,4.9,320,singapore
Renee's Classic,western,4.9,762,singapore
Parched,dessert,4.9,41,singapore
Yan Xi Tang,tea,5,493,singapore
The Viet Roti,vietnamese,5,58,singapore
Nana,coffee,5,135,singapore
Chao Qian Seafood & BBQ Restaurant,chinese,4.9,148,singapore
Ah Keat Pig's Organ Soup And Kway Chap,noodles,5,198,singapore
Al Rayyan Thai Seafood Restaurant,thai,5,167,singapore
Curry Paradise,indian,4.7,47,singapore
Let's Grill Western Food,american,5,17,singapore
Dessert Gallery,dessert,4.9,62,singapore
Aaseef Restaurant,asian,4.4,11,singapore
KuaFood,asian,4.9,134,singapore
Palki Indian Tandoor & Szechwan Authentic Indian Restaurant,indian,3.8,21,singapore
Pang Zi Durian And Ice Cream House,ice cream,5,114,singapore
Samayal by 6ixers,indian,4.8,17,singapore
TOTO Seafood,seafood,4.9,56,singapore
Thai Savoury,thai,4.9,717,singapore
InstaShake and Waffles,burgers,5,339,singapore
Hotpan Sizzler,western,4.9,186,singapore
Sheng xin fish head steamboat,seafood,4.8,51,singapore
Pho Vietnam,vietnamese,5,160,singapore
Super Coconut,beverages,5,496,singapore
Yaki Yaki Bo,japanese,4.8,92,singapore
Kim Hin Seafood,chinese,4.7,195,singapore
Zuya Vegetarian,asian,4.9,423,singapore
Redberry Bakery,pancakes and waffles,4.5,93,singapore
1A Heritage,curry,4.9,361,singapore
Viet Taste Vietnamese Restaurant,noodles,5,1083,singapore
ISHIRO FUSION BOWL,japanese,4.9,733,singapore
Baker's Brew Studio,cakes,4.9,105,singapore
Canton Paradise,chinese,5,96,singapore
I,soups,4.9,387,singapore
Xiang Man Yuan Seafood,seafood,4.9,133,singapore
Wattana Thai by Jenny,thai,4.9,10,singapore
Long Xing Chicken Rice,porridge,4.9,81,singapore
McDonald's,fast food,4.9,1379,singapore
Bowl,healthy,4.6,400,singapore
Moscato Kitchen,western,4.4,5,singapore
PREMIUM CATERING PRIVATE LTD,asian,4.9,20,singapore
Burger King,burgers,5,882,singapore
Pakcik Kampung,western,4.1,8,singapore
Wonders,dessert,4.8,13,singapore
Jiak Song Mee Hoon Kway,noodles,5,134,singapore
Teng Sheng Korean BBQ Buffet,korean,3.1,5,singapore
Fei Po Gai,chinese,4.7,56,singapore
Good Good Bird Signature,chicken,4.9,8,singapore
The Saladbox,salads,4.7,10,singapore
Jade's chicken,asian,4.9,23,singapore
Hang Cusine,korean,5,21,singapore
Haedeum Charcoal BBQ,korean,5,18,singapore
New Odense,pancakes and waffles,5,1129,singapore
Panini Italiani by Da Paolo,sandwiches,4.9,172,singapore
Spices & Curries,indian,5,550,singapore
Galangal Thai Restaurant,thai,4.9,11,singapore
Zhang Liang Mala Tang,mala xiang guo,5,635,singapore
Seoul Bunsik,korean,5,70,singapore
Yamaya Kitchen,japanese,4.7,9,singapore
Casa Fiesta,filipino,4.9,518,singapore
King Dae Bak,korean,4.9,57,singapore
YSS Western Food,chicken,4.3,97,singapore
Feng Fried Rice,asian,1.4,5,singapore
Eng Kee Chicken Wings,chicken wings,4.8,29,singapore
Tendon Sekai,japanese,4.3,5,singapore
Wen Chang Kee Hainanese Chicken Rice,chicken rice,4.9,579,singapore
Taste Paradise,chinese,4.9,32,singapore
Xin Lao You Ji Fishhead Steamboat Seafood Restaurant,asian,5,85,singapore
Flip's N Dips,rice dishes,4.9,3672,singapore
Choo Chiang Roast Noodle House,chinese,5,1012,singapore
Hong Feng Roasted Delights,malaysian,4.6,14,singapore
3Seasonstea,chinese,5,62,singapore
The Public Izakaya 2,japanese,5,29,singapore
Ice Talk Signature Tea,bubble tea,4.9,85,singapore
Komala's Restaurant,indian,5,3185,singapore
Azizha Indian Muslim Food,singaporean,4.6,237,singapore
Queenzilah,indian,4.9,69,singapore
Haji Salim Food Stall,malaysian,4.9,155,singapore
Gangnam Chicken,fast food,4.9,28,singapore
Boon Chiang Hainanese Chicken Rice,chicken rice,4.9,137,singapore
Nasty Cookie,dessert,5,167,singapore
YC Dining & Bar,pizza,4.7,16,singapore
D&E Pastries,dessert,5,16,singapore
Awfully Chocolate,cakes,4.7,217,singapore
Momotaru,dessert,5,248,singapore
Xi Shi Fu Vegetarian,vegetarian,4.5,200,singapore
IVINS NYONYA SPECIALTIES,singaporean,4.9,140,singapore
Zhen Neng Zhu Ban Mian & Fish Soup,chinese,4.8,1020,singapore
Hokkaido,japanese,4.7,76,singapore
,chinese,4.9,269,singapore
Muddy Murphy's,western,4.9,144,singapore
Tanglin Halt Fried Rice,asian,4.2,22,singapore
Kin Ba Ba,asian,4.9,168,singapore
Al Marhaba,singaporean,5,63,singapore
Ri Cheng Economical Rice,chinese,3,7,singapore
Daily Beer,korean,4.9,13,singapore
RASOI,indian,4.8,6,singapore
Central Siam Cuisine,thai,4.9,153,singapore
Mr,japanese,5,174,singapore
FAM Roasted,asian,4.8,130,singapore
Shima's Kitchen,malaysian,5,265,singapore
Rathana Bhavan Indian Vegetarian RESTAURANT,indian,4.6,1300,singapore
Seoul Delight Korean,seafood,5,386,singapore
PAPA AYAM CITY SQUARE MALL,chicken,4.7,14,singapore
Chapayom Thai Teas,beverages,5,56,singapore
Mr Chicken Rice,asian,4.9,33,singapore
Hong Kong Egglet,snacks,4.9,220,singapore
21 Seafood,seafood,4.6,16,singapore
Landy's Western Grill,western,4.8,21,singapore
Karu's Indian Banana Leaf Restaurant,indian,5,1363,singapore
Rsa Food Palace,indian,4.7,118,singapore
Xing Yuan Seafood,chinese,5,5,singapore
Gimee Face,noodles,5,10,singapore
Jb Seafood,malaysian,4.7,376,singapore
Soi 18,asian,4.4,18,singapore
chachao,asian,5,18,singapore
Steamed Society,asian,4.9,41,singapore
Lemak Hut,asian,4.8,130,singapore
Punjaby Dawat,snacks,2,7,singapore
Sha Zah Confectionery,snacks,4.9,106,singapore
ABC,indian,4.6,13,singapore
The Axe Western,western,4.9,125,singapore
Krispy Kreme,dessert,5,436,singapore
Tun Xiang Hokkien Delights,asian,4.7,25,singapore
Singapore Banana Leaf Restaurant,indian,3.9,215,singapore
Mini Wok,fried rice,4.7,86,singapore
Zhenwei ZiChar,asian,4.8,154,singapore
ABC Express,indian,4.9,169,singapore
Turkuaz Turkish Kebab,middle eastern,5,172,singapore
MAMAK KITCHEN,indian,4.9,335,singapore
Antoheetos,mexican,4.9,242,singapore
Legend Wanton Mee,asian,5,22,singapore
Chin Kee 77,chinese,4.8,74,singapore
FBB Nasi Ayam,chicken,4.9,25,singapore
Soi Thai Kitchen,thai,4.3,143,singapore
Teavana Bubble Tea,beverages,5,951,singapore
Pin Xiang Hunan Cuisine,mala xiang guo,4.8,106,singapore
Ar Rayyan Restaurant,indian,4.9,1072,singapore
Oh Some Bowls,salads,5,11,singapore
Tong Luck Bee Hoon & Nasi Lemak,chicken wings,4.7,137,singapore
Fitra Chicken Rice,asian,4.8,22,singapore
Red Lantern Seafood,chinese,5,1119,singapore
Tanoshi Ramen,ramen,4.9,75,singapore
Eighteen Chefs,western,5,430,singapore
Saigon Signatures,vietnamese,4.9,69,singapore
Charb,asian,5,29,singapore
NEW HAWA,chinese,5,704,singapore
B,vietnamese,4.9,280,singapore
Ah Ma Char Kway Teow,asian,4.6,45,singapore
Chopsuey Cafe,western,3.5,16,singapore
Bami Express,vietnamese,5,85,singapore
Bukit Merah View Carrot Cake,cakes,4.7,59,singapore
Chao Ting,asian,5,8,singapore
Da Paolo Pasta Bar,pasta,4.9,17,singapore
GOPAL'S THE HOLY COW,indian,4.5,8,singapore
JK Western,western,4.8,53,singapore
Din Tai Fung,chinese,5,674,singapore
Jimmy Monkey Cafe & Bar,singaporean,4.8,20,singapore
So Do Fun,asian,4.8,54,singapore
Salmon Warrior,japanese,4.8,174,singapore
Kam's Roast Express,chinese,4.9,421,singapore
Mutiara Laut Seafood Restaurant,asian,5,55,singapore
201 Western Food,western,5,14,singapore
SPICY CHEF,asian,5,439,singapore
Verandah,asian,4.9,5,singapore
Cow And Farmer Restaurant,indian,3.3,6,singapore
Haji S,indian,5,446,singapore
Mentai,rice dishes,5,399,singapore
Phawo Thai Food,thai,4.9,123,singapore
Stuff'D,mexican,4.2,7,singapore
Ah Orh Teochew Fish Head Steamboat,chinese,4.9,85,singapore
AK Zai Lok Lok,asian,4.7,28,singapore
Cocolush,pancakes and waffles,5,115,singapore
Pho Lemongrass,vietnamese,4.9,318,singapore
Tha Siam Authentic Thai Kitchen,thai,4.5,52,singapore
Hungry Boy,western,4.9,162,singapore
Hong Hu Ramen,chinese,4.9,22,singapore
Tiong Bahru Hainanese Boneless Chicken Rice,chicken rice,4.9,277,singapore
GudSht,japanese,5,151,singapore
Tenderfresh Xpress,western,4.9,66,singapore
Acheymama,seafood,4.9,112,singapore
YumTreats Cafe,asian,4.3,19,singapore
Texas Chicken,fried chicken,4.8,23,singapore
Maxwell Chicken Rice,asian,4.5,23,singapore
